id,statement,predicted_type,annotator_1,annotator_2
1,"Если характеристика χ относится к ненулевому типу, то A∗= ⟨x0⟩∗⊂N, x∗= x0. В этом случае группа A∗изоморфна группе Rχ = = ⟨1⟩∗⊂Zχ. Если характеристика χ = (mp) относится к нулевому типу, то она определяет целое число m = p pmp.",ISOMORPH,,
2,"Можно дать эквивалентное определение этого умножения. Поскольку Q(σ) = K/Iσ и Q(τ) = K/Iτ по свойству 13 τ-адических чисел, то элементы представляются в виде α = α1 +Iσ, β = β1 +Iτ, где α1, β1 ∈K — универсальные числа. При условии, что type(α) ⩾σ −σ ∧τ, это умножение правильно определено.",ISOMORPH,,
3,"Сначала мы заменим каждый тип τi на характеристику χi ∈τi. Фомин матрицы A на ненулевое рациональное число является изоморфизмом категории M, то мы можем без потери общности считать, что каждый элемент матрицы A имеет вид α′ ij = 1⊗αij, где элементы αij ∈Zχi являются представителями τi-адических чисел. Различный выбор представителей приводит, вообще говоря, к различным парам групп, факторно делимой и без кручения конечного ранга, но эти различия не выходят за рамки квазиравенства.",ISOMORPH,,
4,"Эквивалентности и двойственности Напомним, что категории A и B называются эквивалентными (двойственными), если существуют ковариантные (контравариантные) функторы f : A →B и f ′ : B →A, такие что ff ′ ∼idB и f ′f ∼idA. Запись f ′f ∼idA означает, что для любого объекта A категории A существует изоморфизм gA : A →f ′ f(A) , такой что для любого морфизма h: A →B категории A следующая диаграмма коммутативна: A h −−−−→ B gA  gB f ′ f(A) −−−−−→ f ′(f(h)) f ′ f(B) . (4.1) 4.1. Категории M и RM Обозначим через Mat Q множество всех прямоугольных матриц произвольных размеров с рациональными элементами.",ISOMORPH,,
5,"Мы наконец определяем группу A = d(A∗) с помощью множества порождающих элементов: A = ⟨f(x0 1)x1 + . . . + f(x0 n)xn | f ∈HomˆZ(M, Q/Z)⟩. Так как группа A/F является конечной прямой суммой локально циклических групп, то из леммы 2 следует, что HomˆZ(Hom(A/F, Q/Z), Q/Z) ∼= A/F. (5.10) ˆZ-модуль M = Hom(A/F, Q/Z) = ˆA∗содержит элементы x0 1, . . . , x0 n, которые одновременно являются гомоморфизмами A/F →Q/Z, определёнными в (5.9), и образами базисных элементов x∗ 1, . . . , x∗ n ∈A∗при Z-адическом пополнении A∗→ˆA∗. ˆZ-модульный гомоморфизм f : M →Q/Z переходит при изоморфизме (5.10) в элемент f(x0 1)x1 + . . . + f(x0 n)xn + F ∈A/F. Это показывает, что d d′(A) = A и d′ d(A∗) = A∗для двойственных групп A и A∗с двойственными базисами x1, . . . , xn ∈A и x∗ 1, . . . , x∗ n ∈A∗.",ISOMORPH,,
6,"Пусть m — строго положительная d-разложимая F-значная мера на полной булевой алгебре B. Тогда существуют правильная подалгебра B0 в B и булевый изоморфизм ψ из ∇на B0 такие, что m(ψ(a)e) = am(e) для всех a ∈∇, e ∈B. ◁Пусть a ∈∇. Существует такое g ∈B, что m(g) = am(1B).",ISOMORPH,,
7,"Разложимые меры со значениями в порядково полных векторных решетках 35 В случае ∇= {0, 1}, понятие ∇-непрерывности совпадает с известным определением непрерывности булевой алгебры. Следующие условия эквивалентны: (i) B является ∇-непрерывной; (ii) eB ̸= ∇e := {ae : a ∈∇} для любого 0 ̸= e ∈B. ◁(i) →(ii) : Так как B — ∇-непрерывная булева алгебра, то для каждого 0 ̸= e ∈B существует такое g ∈eB, g ̸= e, что z(g) = z(e). Предположим, что g = ae для некоторого a ∈∇.",ISOMORPH,,
8,"База P(C ↓) (т. е. булева алгебра порядковых проекторов в C ↓) изоморфна B, поэтому считаем, допуская вольность, что эти булевы алгебры совпадают. В модели V(B) имеет место утверждение: поле C∧алгебраически замкнуто в C . В частности, если V(B) |= C∧̸= C , то V(B) |= « C — трансцендентное расширение поля C ∧».",ISOMORPH,,
9,"Тогда K-пространство πξ C ↓изоморфно C∞(Q), причем элемент πξ(1) переходит в функцию, тождественно равную единице на Q. Если f ∈C∞(Q) — образ элемента πξz0 при указанном изоморфизме, то приходим к соотношению λ0,ξ + λ1,ξf(q) + · · · + λn−1,ξf(q)n−1 = 0 (q ∈Q). В силу основной теоремы алгебры непрерывная функция f имеет не более n значений, следовательно, она ступенчата.",ISOMORPH,,
10,"Основной результат Напомним еще несколько определений, необходимых для формулировки основного результата. Булеву σ-алгебру B называют σ-дистрибутивной, если для любой двойной последовательности (bn,m)n,m∈N в B выполнено условие _ n∈N ^ m∈N bn,m = ^ ϕ∈NN _ n∈N bn,ϕ(n). Другие эквивалентные определения имеются в книге [14].",ISOMORPH,,
11,"О мультипликативном представлении билинейных операторов 359 Пусть B — полная булева алгебра порядковых проекторов расширенного пространства Канторовича G. Тогда G изоморфен спуску R↓поля вещественных чисел R в булевозначной модели теории множеств V(B) [21, теорема 10.3.4]. На этом основании можно считать, что G = R↓.",ISOMORPH,,
12,"Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V . Если V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n). Конкретно, это ассоциативная алгебра, свободно порожденная n антикоммутирующими квадратными корнями из −1.",ISOMORPH,,
13,"Задав алгебру, мы будем свободно считать действительные числа элементами этой алгебры посредством отображения α 7→α1. Алгебра A является алгеброй с делением, если даны a, b ∈A с ab = 0, тогда либо a = 0, либо b = 0. Эквивалентно, A есть алгебра с делением, если операции левого и правого умножения на любой ненулевой элемент являются обратимыми.",ISOMORPH,,
14,"Октонионы пространство V с действительным скалярным произведением, клиффордова алгебра Cliﬀ(V ) является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 для всех v ∈V . Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V . Если V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n).",ISOMORPH,,
15,"Любой октонион e1, квадрат которого равен −1, порождает подалгебру O, изоморфную C. Если мы затем выберем любой октонион e2, квадрат которого равен −1 и который антикоммутирует с e1, элементы e1, e2 порождают подалгебру, изоморфную H. Наконец, если мы выберем октонион e3, квадрат которого равен −1 и который антикоммутирует с e1, e2 и e1e2, то элементы e1, e2, e3 порождают всю O.",ISOMORPH,,
16,"Они называются спинорами – но мы предупреждаем читателя, что этот термин уже используется для обозначения многих незначительно различающихся разновидностей этого понятия. На самом деле, существует изоморфизм φ: Cliﬀ(n −1) →Cliﬀ0(n), заданный следующим образом: φ(ei) = eien, 1 ≤i ≤n −1, где {ei} – ортонормированный базис в Rn. Таким образом, спиноры в n измерениях – это то же самое, что и пиноры в n −1 измерениях!",ISOMORPH,,
17,"Можно проверить, что это – гомоморфизм на, и его ядро состоит из матриц ±1. Таким образом, если мы определим PSL(2, K) = SL(2, K)/{±1}, то получим изоморфизмы PSL(2, R) ∼= SO0(2, 1) PSL(2, C) ∼= SO0(3, 1) PSL(2, H) ∼= SO0(6, 1) PSL(2, O) ∼= SO0(9, 1). Объединяя это вместе с нашими предыдущими рассуждениями, получим, что PSL(2, K) действует как конформные преобразования KP1.",ISOMORPH,,
18,"Скобка элемента u(1) и элемента S10 является другим элементом S10, определённым посредством очевидного действия u(1) на этом комплексном пространстве. Если мы определим E6 как односвязную группу с алгеброй Ли e6, из результатов Адамса следует, что подгруппа, порождённая подалгеброй Ли so(10)⊕u(1) изоморфна (Spin(10)×U(1))/Z4. Это позволяет определить биоктонионную проективную плоскость посредством (C ⊗O)P2 = E6 / ((Spin(10) × U(1))/Z4) и сделать вывод, что касательная плоскость в любой точке этого многообразия изоморфна S10 ∼= (C ⊗O)2.",ISOMORPH,,
19,"Скобки элемента sp(1) и элемента S+ 12 являются элементом S+ 12, определённым с использованием естественного действия sp(1) в этом пространстве. Если принять, что E7 – односвязная группа с алгеброй Ли e7, из результата Адамса [2] следует, что подгруппа, порождённая подалгеброй Ли so(12)⊕sp(1), изоморфна (Spin(12)×Sp(1))/Z2. Это позволяет определить кватероктонионную проективную плоскость посредством (H ⊗O)P2 = E7 / ((Spin(12) × Sp(1))/Z2) и сделать вывод, что касательная плоскость в любой точке этого многообразия изоморфна S+ 12 ∼= (H⊗O)2.",ISOMORPH,,
20,"2.3 Клиффордовы Алгебры Уильям Клиффорд изобрел свои алгебры в 1876 в качестве попытки обобщить кватернионы на высшие размерности, опубликовав работу о них двумя годами позже [23]. Октонионы пространство V с действительным скалярным произведением, клиффордова алгебра Cliﬀ(V ) является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 для всех v ∈V . Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V .",ISOMORPH,,
21,"Это означает, что мы определяем ""прямую"" как класс эквивалентности элементов p × q ∈h3(O)∗, где снова два элемента полагаются эквивалентными, если один является ненулевым действительным кратным другого. Фройденталь показал, что мы получим проективную плоскость, изоморфную OP2, если мы возьмём эти наши определения точек и прямых и постановим, что точка [p] лежит на прямой [L] тогда и только тогда, когда L(p) = 0. Заметим, что это уравнение имеет смысл, даже несмотря на то, что L и p определены лишь с точностью до ненулевых действительных множителей.",ISOMORPH,,
22,"Тогда йорданова алгебра h2(K) скрытым образом является также спиновым множителем! Существует изоморфизм φ: h2(K) →J(K ⊕R) ∼= K ⊕R ⊕R, заданный соотношением φ Ã α + β x x∗ α −β ! = (x, β, α), x ∈K, α, β ∈R. (6) Более того, определитель матриц из h2(K) хорошо определён даже тогда, когда K не коммутативна или не ассоциативна: det Ã α + β x x∗ α −β ! = α2 −β2 −∥x∥2, и мы, очевидно, имеем det(a) = −φ(a) · φ(a) для всех a ∈h2(K). Эти факты имеют целый ряд замечательных следствий.",ISOMORPH,,
23,"Мы, таким образом, получили весьма изящный инструментарий для работы с OP2. Если мы используем изоморфизм между h3(O) и дуальной к ней алгеброй для переинтерпретации кросс-произведения в качестве отображения ×: h3(O) × h3(O) →h3(O), тогда не только прямая, проходящая через разные точки [p] и [q], задаётся соотношением [p×q], но также точка, в которой две разные прямые [ℓ] и [m] пересекаются, задается посредством [ℓ× m]. Тройка точек [p], [q] и [r] лежит на одной прямой (коллинеарна), если и только если (p, q, r) = 0, и тройка прямых [ℓ], [m], [n] пересекается в точке, если и только если (ℓ, m, n) = 0.",ISOMORPH,,
24,"Используя соотношение между нормированными алгебрами с делением и тройственностями, мы получаем изоморфизм h3(O) ∼= R3 ⊕V8 ⊕S+ 8 ⊕S− 8    α z∗y∗ z β x y x∗γ   7→ ((α, β, γ), x, y, z), (7) где α, β, γ ∈R и x, y, z ∈O. Исследование йорданова произведения в h3(O) тогда открывает удивительный факт: в то время как поверхностно это произведение определено с использованием структуры ∗-алгебры на O, оно на самом деле может быть определено с использованием только естественных отображений V8 × S+ 8 →S− 8 , V8 × S− 8 →S+ 8 , S+ 8 × S− 8 →V8 вместе со скалярными произведениями этих трёх пространств. Вся эта информация содержится в нормированной тройственности t8 : V8 × S+ 8 × S− 8 →R, так что любой автоморфизм этой тройственности даёт автоморфизм h3(O).",ISOMORPH,,
